starttime	seconds	ctime	dtime	ttime	wait
Sat Nov 09 14:22:20 2024	1731151340	0	434	434	434
Sat Nov 09 14:22:26 2024	1731151346	0	434	434	434
Sat Nov 09 14:22:21 2024	1731151341	0	435	435	435
Sat Nov 09 14:22:26 2024	1731151346	0	436	436	436
Sat Nov 09 14:22:24 2024	1731151344	0	436	436	436
Sat Nov 09 14:22:25 2024	1731151345	0	437	437	436
Sat Nov 09 14:22:21 2024	1731151341	0	437	437	404
Sat Nov 09 14:22:23 2024	1731151343	0	438	438	437
Sat Nov 09 14:22:21 2024	1731151341	0	438	438	438
Sat Nov 09 14:22:26 2024	1731151346	0	438	438	438
Sat Nov 09 14:22:21 2024	1731151341	0	439	439	438
Sat Nov 09 14:22:20 2024	1731151340	1	438	439	438
Sat Nov 09 14:22:26 2024	1731151346	0	440	440	439
Sat Nov 09 14:22:24 2024	1731151344	0	440	440	440
Sat Nov 09 14:22:21 2024	1731151341	0	440	440	440
Sat Nov 09 14:22:21 2024	1731151341	0	440	440	440
Sat Nov 09 14:22:21 2024	1731151341	0	440	440	440
Sat Nov 09 14:22:23 2024	1731151343	0	440	440	440
Sat Nov 09 14:22:26 2024	1731151346	0	441	441	441
Sat Nov 09 14:22:23 2024	1731151343	0	442	442	441
Sat Nov 09 14:22:20 2024	1731151340	0	442	442	442
Sat Nov 09 14:22:21 2024	1731151341	0	442	442	442
Sat Nov 09 14:22:20 2024	1731151340	0	442	442	440
Sat Nov 09 14:22:21 2024	1731151341	0	443	443	443
Sat Nov 09 14:22:20 2024	1731151340	0	443	444	443
Sat Nov 09 14:22:21 2024	1731151341	0	444	444	443
Sat Nov 09 14:22:20 2024	1731151340	0	444	444	444
Sat Nov 09 14:22:21 2024	1731151341	0	444	444	444
Sat Nov 09 14:22:21 2024	1731151341	0	445	445	445
Sat Nov 09 14:22:22 2024	1731151342	0	446	446	446
Sat Nov 09 14:22:20 2024	1731151340	1	445	446	445
Sat Nov 09 14:22:26 2024	1731151346	0	446	446	446
Sat Nov 09 14:22:21 2024	1731151341	0	448	448	448
Sat Nov 09 14:22:21 2024	1731151341	0	448	448	448
Sat Nov 09 14:22:23 2024	1731151343	0	449	449	448
Sat Nov 09 14:22:21 2024	1731151341	0	449	449	449
Sat Nov 09 14:22:23 2024	1731151343	0	450	450	450
Sat Nov 09 14:22:26 2024	1731151346	0	451	451	451
Sat Nov 09 14:22:20 2024	1731151340	0	452	452	451
Sat Nov 09 14:22:21 2024	1731151341	0	452	452	452
Sat Nov 09 14:22:21 2024	1731151341	0	452	452	451
Sat Nov 09 14:22:21 2024	1731151341	0	452	452	452
Sat Nov 09 14:22:25 2024	1731151345	0	453	453	452
Sat Nov 09 14:22:20 2024	1731151340	0	453	453	453
Sat Nov 09 14:22:22 2024	1731151342	0	453	454	453
Sat Nov 09 14:22:21 2024	1731151341	0	454	454	453
Sat Nov 09 14:22:26 2024	1731151346	0	454	454	454
Sat Nov 09 14:22:23 2024	1731151343	0	454	454	454
Sat Nov 09 14:22:25 2024	1731151345	0	454	454	454
Sat Nov 09 14:22:21 2024	1731151341	0	454	454	454
Sat Nov 09 14:22:22 2024	1731151342	0	455	455	455
Sat Nov 09 14:22:24 2024	1731151344	0	455	455	455
Sat Nov 09 14:22:23 2024	1731151343	0	457	457	457
Sat Nov 09 14:22:25 2024	1731151345	0	458	458	457
Sat Nov 09 14:22:23 2024	1731151343	0	459	459	459
Sat Nov 09 14:22:26 2024	1731151346	0	459	459	459
Sat Nov 09 14:22:26 2024	1731151346	0	461	461	460
Sat Nov 09 14:22:21 2024	1731151341	0	461	461	460
Sat Nov 09 14:22:21 2024	1731151341	0	463	463	462
Sat Nov 09 14:22:23 2024	1731151343	0	463	463	463
Sat Nov 09 14:22:23 2024	1731151343	0	463	463	463
Sat Nov 09 14:22:25 2024	1731151345	0	464	464	463
Sat Nov 09 14:22:20 2024	1731151340	0	464	464	462
Sat Nov 09 14:22:21 2024	1731151341	0	465	465	464
Sat Nov 09 14:22:24 2024	1731151344	0	465	465	465
Sat Nov 09 14:22:23 2024	1731151343	0	465	465	462
Sat Nov 09 14:22:24 2024	1731151344	0	467	467	466
Sat Nov 09 14:22:20 2024	1731151340	1	467	468	467
Sat Nov 09 14:22:25 2024	1731151345	0	468	468	467
Sat Nov 09 14:22:24 2024	1731151344	0	468	468	467
Sat Nov 09 14:22:22 2024	1731151342	0	468	468	468
Sat Nov 09 14:22:24 2024	1731151344	0	468	468	467
Sat Nov 09 14:22:20 2024	1731151340	1	467	468	467
Sat Nov 09 14:22:23 2024	1731151343	0	469	469	439
Sat Nov 09 14:22:21 2024	1731151341	0	469	469	469
Sat Nov 09 14:22:21 2024	1731151341	0	469	469	469
Sat Nov 09 14:22:21 2024	1731151341	0	470	470	470
Sat Nov 09 14:22:24 2024	1731151344	0	471	471	470
Sat Nov 09 14:22:22 2024	1731151342	0	471	471	471
Sat Nov 09 14:22:25 2024	1731151345	0	472	472	455
Sat Nov 09 14:22:21 2024	1731151341	0	472	472	472
Sat Nov 09 14:22:20 2024	1731151340	0	473	473	466
Sat Nov 09 14:22:21 2024	1731151341	0	473	473	473
Sat Nov 09 14:22:24 2024	1731151344	0	473	473	473
Sat Nov 09 14:22:25 2024	1731151345	0	473	473	473
